X-Position,Y-Position,Z-Position,Azimuth,Elevation,Roll
15000,9500,2000,0,0,0
15000,9500,1975.75,0,1.15,0
15000,9500,1951.5,0,2.3,0
15000,9500,1927.25,0,3.45,0
15000,9500,1903,0,4.6,0
15000,9500,1878.75,0,5.75,0
15000,9500,1854.5,0,6.9,0
15000,9500,1830.25,0,8.05,0
15000,9500,1806,0,9.2,0
15000,9500,1781.75,0,10.35,0
15000,9500,1757.5,0,11.5,0
15000,9500,1733.25,0,12.65,0
15000,9500,1709,0,13.8,0
15000,9500,1684.75,0,14.95,0
15000,9500,1660.5,0,16.1,0
15000,9500,1636.25,0,17.25,0
15000,9500,1612,0,18.4,0
15000,9500,1587.75,0,19.55,0
15000,9500,1563.5,0,20.7,0
15000,9500,1539.25,0,21.85,0
15000,9500,1515,0,23,0
15000,9500,1490.75,0,24.15,0
15000,9500,1466.5,0,25.3,0
15000,9500,1442.25,0,26.45,0
15000,9500,1418,0,27.6,0
15000,9500,1393.75,0,28.75,0
15000,9500,1369.5,0,29.9,0
15000,9500,1345.25,0,31.05,0
15000,9500,1321,0,32.2,0
15000,9500,1296.75,0,33.35,0
15000,9500,1272.5,0,34.5,0
15000,9500,1248.25,0,35.65,0
15000,9500,1224,0,36.8,0
15000,9500,1199.75,0,37.95,0
15000,9500,1175.5,0,39.1,0
15000,9500,1151.25,0,40.25,0
15000,9500,1127,0,41.4,0
15000,9500,1102.75,0,42.55,0
15000,9500,1078.5,0,43.7,0
15000,9500,1054.25,0,44.85,0
15000,9500,1030,0,46,0
15000,9500,1005.75,0,47.15,0
15000,9500,981.5,0,48.3,0
15000,9500,957.25,0,49.45,0
15000,9500,933,0,50.6,0
15000,9500,908.75,0,51.75,0
15000,9500,884.5,0,52.9,0
15000,9500,860.25,0,54.05,0
15000,9500,836,0,55.2,0
15000,9500,811.75,0,56.35,0
15000,9500,787.5,0,57.5,0
15000,9500,763.25,0,58.65,0
15000,9500,739,0,59.8,0
15000,9500,714.75,0,60.95,0
15000,9500,690.5,0,62.1,0
15000,9500,666.25,0,63.25,0
15000,9500,642,0,64.4,0
15000,9500,617.75,0,65.55,0
15000,9500,593.5,0,66.7,0
15000,9500,569.25,0,67.85,0
15000,9500,545,0,69,0
15000,9500,520.75,0,70.15,0
15000,9500,496.5,0,71.3,0
15000,9500,472.25,0,72.45,0
15000,9500,448,0,73.6,0
15000,9500,423.75,0,74.75,0
15000,9500,399.5,0,75.9,0
15000,9500,375.25,0,77.05,0
15000,9500,351,0,78.2,0
15000,9500,326.75,0,79.35,0
15000,9500,302.5,0,80.5,0
15000,9500,278.25,0,81.65,0
15000,9500,254,0,82.8,0
15000,9500,229.75,0,83.95,0
15000,9500,205.5,0,85.1,0
15000,9500,181.25,0,86.25,0
15000,9500,157,0,87.4,0
15000,9500,132.75,0,88.55,0
15000,9500,108.5,0,89.7,0
15000,9500,84.25,0,90,0
15000,9525,84.25,0,90,0
15000,9550,84.25,0,90,0
15000,9575,84.25,0,90,0
15000,9600,84.25,0,90,0
15000,9625,84.25,0,90,0
15000,9650,84.25,0,90,0
15000,9675,84.25,0,90,0
15000,9700,84.25,0,90,0
15000,9725,84.25,0,90,0
15000,9750,84.25,0,90,0
15000,9775,84.25,0,90,0
15000,9800,84.25,0,90,0
15000,9825,84.25,0,90,0
15000,9850,84.25,0,90,0
15000,9875,84.25,0,90,0
15000,9900,84.25,0,90,0
15000,9925,84.25,0,90,0
15000,9950,84.25,0,90,0
15000,9975,84.25,0,90,0
15000,10000,84.25,0,90,0
15000,10025,84.25,0,90,0
15000,10050,84.25,0,90,0
15000,10075,84.25,0,90,0
15000,10100,84.25,0,90,0
15000,10125,84.25,0,90,0
15000,10150,84.25,0,90,0
15000,10175,84.25,0,90,0
15000,10200,84.25,0,90,0
15000,10225,84.25,0,90,0
15000,10250,84.25,0,90,0
15000,10275,84.25,0,90,0
15000,10300,84.25,0,90,0
15000,10325,84.25,0,90,0
15000,10350,84.25,0,90,0
15000,10375,84.25,0,90,0
15000,10400,84.25,0,90,0
15000,10425,84.25,0,90,0
15000,10450,84.25,0,90,0
15000,10475,84.25,0,90,0
15000,10500,84.25,0,90,0
15000,10525,84.25,0,90,0
15000,10550,84.25,0,90,0
15000,10575,84.25,0,90,0
15000,10600,84.25,0,90,0
15000,10625,84.25,0,90,0
15000,10650,84.25,0,90,0
15000,10675,84.25,0,90,0
15000,10700,84.25,0,90,0
15000,10725,84.25,0,90,0
15000,10750,84.25,0,90,0
15000,10775,84.25,0,90,0
15000,10800,84.25,0,90,0
15000,10825,84.25,0,90,0
15000,10850,84.25,0,90,0
15000,10875,84.25,0,90,0
15000,10900,84.25,0,90,0
15000,10925,84.25,0,90,0
15000,10950,84.25,0,90,0
15000,10975,84.25,0,90,0
15000,11000,84.25,0,90,0
15000,11025,84.25,0,90,0
15000,11050,84.25,0,90,0
15000,11075,84.25,0,90,0
15000,11100,84.25,0,90,0
15000,11125,84.25,0,90,0
15000,11150,84.25,0,90,0
15000,11175,84.25,0,90,0
15000,11200,84.25,0,90,0
15000,11225,84.25,0,90,0
15000,11250,84.25,0,90,0
15000,11275,84.25,0,90,0
15000,11300,84.25,0,90,0
15000,11325,84.25,0,90,0
15000,11350,84.25,0,90,0
15000,11375,84.25,0,90,0
15000,11400,84.25,0,90,0
15000,11425,84.25,0,90,0
15000,11450,84.25,0,90,0
15000,11475,84.25,0,90,0
15000,11500,84.25,0,90,0
15000,11525,84.25,0,90,0
15000,11550,84.25,0,90,0
15000,11575,84.25,0,90,0
15000,11600,84.25,0,90,0
15000,11625,84.25,0,90,0
15000,11650,84.25,0,90,0
15000,11675,84.25,0,90,0
15000,11700,84.25,0,90,0
15000,11725,84.25,0,90,0
15000,11750,84.25,0,90,0
15000,11775,84.25,0,90,0
15000,11800,84.25,0,90,0
15000,11825,84.25,0,90,0
15000,11850,84.25,0,90,0
15000,11875,84.25,0,90,0
15000,11900,84.25,0,90,0
15000,11925,84.25,0,90,0
15000,11950,84.25,0,90,0
15000,11975,84.25,0,90,0
15000,12000,84.25,0,90,0
15000,12025,84.25,0,90,0
15000,12050,84.25,0,90,0
15000,12075,84.25,0,90,0
15000,12100,84.25,0,90,0
15000,12125,84.25,0,90,0
15000,12150,84.25,0,90,0
15000,12175,84.25,0,90,0
15000,12200,84.25,0,90,0
15000,12225,84.25,0,90,0
15000,12250,84.25,0,90,0
15000,12275,84.25,0,90,0
15000,12300,84.25,0,90,0
15000,12325,84.25,0,90,0
15000,12350,84.25,0,90,0
15000,12375,84.25,0,90,0
15000,12400,84.25,0,90,0
15000,12425,84.25,0,90,0
15000,12450,84.25,0,90,0
15000,12475,84.25,0,90,0
15000,12500,84.25,0,90,0
15000,12525,84.25,0,90,0
15000,12550,84.25,0,90,0
15000,12575,84.25,0,90,0
15000,12600,84.25,0,90,0
15000,12625,84.25,0,90,0
15000,12650,84.25,0,90,0
15000,12675,84.25,0,90,0
15000,12700,84.25,0,90,0
15000,12725,84.25,0,90,0
15000,12750,84.25,0,90,0
15000,12775,84.25,0,90,0
15000,12800,84.25,0,90,0
15000,12825,84.25,0,90,0
15000,12850,84.25,0,90,0
15000,12875,84.25,0,90,0
15000,12900,84.25,0,90,0
15000,12925,84.25,0,90,0
15000,12950,84.25,0,90,0
15000,12975,84.25,0,90,0
15000,13000,84.25,0,90,0
15000,13025,84.25,0,90,0
15000,13050,84.25,0,90,0
15000,13075,84.25,0,90,0
15000,13100,84.25,0,90,0
15000,13125,84.25,0,90,0
15000,13150,84.25,0,90,0
15000,13175,84.25,0,90,0
15000,13200,84.25,0,90,0
15000,13225,84.25,0,90,0
15000,13250,84.25,0,90,0
15000,13275,84.25,0,90,0
15000,13300,84.25,0,90,0
15000,13325,84.25,0,90,0
15000,13350,84.25,0,90,0
15000,13375,84.25,0,90,0
15000,13400,84.25,0,90,0
15000,13425,84.25,0,90,0
15000,13450,84.25,0,90,0
15000,13475,84.25,0,90,0
15000,13500,84.25,0,90,0
15000,13525,84.25,0,90,0
15000,13550,84.25,0,90,0
15000,13575,84.25,0,90,0
15000,13600,84.25,0,90,0
15000,13625,84.25,0,90,0
15000,13650,84.25,0,90,0
15000,13675,84.25,0,90,0
15000,13700,84.25,0,90,0
15000,13725,84.25,0,90,0
15000,13750,84.25,0,90,0
15000,13775,84.25,0,90,0
15000,13800,84.25,0,90,0
15000,13825,84.25,0,90,0
15000,13850,84.25,0,90,0
15000,13875,84.25,0,90,0
15000,13900,84.25,0,90,0
15000,13925,84.25,0,90,0
15000,13950,84.25,0,90,0
15000,13975,84.25,0,90,0
15000,14000,84.25,0,90,0
15000,14025,84.25,0,90,0
15000,14050,84.25,0,90,0
15000,14075,84.25,0,90,0
15000,14100,84.25,0,90,0
15000,14125,84.25,0,90,0
15000,14150,84.25,0,90,0
15000,14175,84.25,0,90,0
15000,14200,84.25,0,90,0
15000,14225,84.25,0,90,0
15000,14250,84.25,0,90,0
15000,14275,84.25,0,90,0
15000,14300,84.25,0,90,0
15000,14325,84.25,0,90,0
15000,14350,84.25,0,90,0
15000,14375,84.25,0,90,0
15000,14400,84.25,0,90,0
15000,14425,84.25,0,90,0
15000,14450,84.25,0,90,0
15000,14475,84.25,0,90,0
15000,14500,84.25,0,90,0
15000,14525,84.25,0,90,0
15000,14550,84.25,0,90,0
15000,14575,84.25,0,90,0
15000,14600,84.25,0,90,0
15000,14625,84.25,0,90,0
15000,14650,84.25,0,90,0
15000,14675,84.25,0,90,0
15000,14700,84.25,0,90,0
15000,14725,84.25,0,90,0
15000,14750,84.25,0,90,0
15000,14775,84.25,0,90,0
15000,14800,84.25,0,90,0
15000,14825,84.25,0,90,0
15000,14850,84.25,0,90,0
15000,14875,84.25,0,90,0
15000,14900,84.25,0,90,0
15000,14925,84.25,0,90,0
15000,14950,84.25,0,90,0
15000,14975,84.25,0,90,0
15000,15000,84.25,0,90,0
15000,15025,84.25,0,90,0
15000,15050,84.25,0,90,0
15000,15075,84.25,0,90,0
15000,15100,84.25,0,90,0
15000,15125,84.25,0,90,0
15000,15150,84.25,0,90,0
15000,15175,84.25,0,90,0
15000,15200,84.25,0,90,0
15000,15225,84.25,0,90,0
15000,15250,84.25,0,90,0
15000,15275,84.25,0,90,0
15000,15300,84.25,0,90,0
15000,15325,84.25,0,90,0
15000,15350,84.25,0,90,0
15000,15375,84.25,0,90,0
15000,15400,84.25,0,90,0
15000,15425,84.25,0,90,0
15000,15450,84.25,0,90,0
15000,15475,84.25,0,90,0
15000,15500,84.25,0,90,0
15000,15525,84.25,0,90,0
15000,15550,84.25,0,90,0
15000,15575,84.25,0,90,0
15000,15600,84.25,0,90,0
15000,15625,84.25,0,90,0
15000,15650,84.25,0,90,0
15000,15675,84.25,0,90,0
15000,15700,84.25,0,90,0
15000,15725,84.25,0,90,0
15000,15750,84.25,0,90,0
15000,15775,84.25,0,90,0
15000,15800,84.25,0,90,0
15000,15825,84.25,0,90,0
15000,15850,84.25,0,90,0
15000,15875,84.25,0,90,0
15000,15900,84.25,0,90,0
15000,15925,84.25,0,90,0
15000,15950,84.25,0,90,0
15000,15975,84.25,0,90,0
15000,16000,84.25,0,90,0
15000,16025,84.25,0,90,0
15000,16050,84.25,0,90,0
15000,16075,84.25,0,90,0
15000,16100,84.25,0,90,0
15000,16125,84.25,0,90,0
15000,16150,84.25,0,90,0
15000,16175,84.25,0,90,0
15000,16200,84.25,0,90,0
15000,16225,84.25,0,90,0
15000,16250,84.25,0,90,0
15000,16275,84.25,0,90,0
15000,16300,84.25,0,90,0
15000,16325,84.25,0,90,0
15000,16350,84.25,0,90,0
15000,16375,84.25,0,90,0
15000,16400,84.25,0,90,0
15000,16425,84.25,0,90,0
15000,16450,84.25,0,90,0
15000,16475,84.25,0,90,0
15000,16500,84.25,0,90,0
15000,16525,84.25,0,90,0
15000,16550,84.25,0,90,0
15000,16575,84.25,0,90,0
15000,16600,84.25,0,90,0
15000,16625,84.25,0,90,0
15000,16650,84.25,0,90,0
15000,16675,84.25,0,90,0
15000,16700,84.25,0,90,0
15000,16725,84.25,0,90,0
15000,16750,84.25,0,90,0
15000,16775,84.25,0,90,0
15000,16800,84.25,0,90,0
15000,16825,84.25,0,90,0
15000,16850,84.25,0,90,0
15000,16875,84.25,0,90,0
15000,16900,84.25,0,90,0
15000,16925,84.25,0,90,0
15000,16950,84.25,0,90,0
15000,16975,84.25,0,90,0
15000,17000,84.25,0,90,0
15000,17025,84.25,0,90,0
15000,17050,84.25,0,90,0
15000,17075,84.25,0,90,0
15000,17100,84.25,0,90,0
15000,17125,84.25,0,90,0
15000,17150,84.25,0,90,0
15000,17175,84.25,0,90,0
15000,17200,84.25,0,90,0
15000,17225,84.25,0,90,0
15000,17250,84.25,0,90,0
15000,17275,84.25,0,90,0
15000,17300,84.25,0,90,0
15000,17325,84.25,0,90,0
15000,17350,84.25,0,90,0
15000,17375,84.25,0,90,0
15000,17400,84.25,0,90,0
15000,17425,84.25,0,90,0
15000,17450,84.25,0,90,0
15000,17475,84.25,0,90,0
15000,17500,84.25,0,90,0
15000,17525,84.25,0,90,0
15000,17550,84.25,0,90,0
15000,17575,84.25,0,90,0
15000,17600,84.25,0,90,0
15000,17625,84.25,0,90,0
15000,17650,84.25,0,90,0
15000,17675,84.25,0,90,0
15000,17700,84.25,0,90,0
15000,17725,84.25,0,90,0
15000,17750,84.25,0,90,0
15000,17775,84.25,0,90,0
15000,17800,84.25,0,90,0
15000,17825,84.25,0,90,0
15000,17850,84.25,0,90,0
15000,17875,84.25,0,90,0
15000,17900,84.25,0,90,0
15000,17925,84.25,0,90,0
15000,17950,84.25,0,90,0
15000,17975,84.25,0,90,0
15000,18000,84.25,0,90,0
15000,18025,84.25,0,90,0
15000,18050,84.25,0,90,0
15000,18075,84.25,0,90,0
15000,18100,84.25,0,90,0
15000,18125,84.25,0,90,0
15000,18150,84.25,0,90,0
15000,18175,84.25,0,90,0
15000,18200,84.25,0,90,0
15000,18225,84.25,0,90,0
15000,18250,84.25,0,90,0
15000,18275,84.25,0,90,0
15000,18300,84.25,0,90,0
15000,18325,84.25,0,90,0
15000,18350,84.25,0,90,0
15000,18375,84.25,0,90,0
15000,18400,84.25,0,90,0
15000,18425,84.25,0,90,0
15000,18450,84.25,0,90,0
15000,18475,84.25,0,90,0
15000,18500,84.25,0,90,0
15000,18525,84.25,0,90,0
15000,18550,84.25,0,90,0
15000,18575,84.25,0,90,0
15000,18600,84.25,0,90,0
15000,18625,84.25,0,90,0
15000,18650,84.25,0,90,0
15000,18675,84.25,0,90,0
15000,18700,84.25,0,90,0
15000,18725,84.25,0,90,0
15000,18750,84.25,0,90,0
15000,18775,84.25,0,90,0
15000,18800,84.25,0,90,0
15000,18825,84.25,0,90,0
15000,18850,84.25,0,90,0
15000,18875,84.25,0,90,0
15000,18900,84.25,0,90,0
15000,18925,84.25,0,90,0
15000,18950,84.25,0,90,0
15000,18975,84.25,0,90,0
15000,19000,84.25,0,90,0
15000,19025,84.25,0,90,0
15000,19050,84.25,0,90,0
15000,19075,84.25,0,90,0
15000,19100,84.25,0,90,0
15000,19125,84.25,0,90,0
15000,19150,84.25,0,90,0
15000,19175,84.25,0,90,0
15000,19200,84.25,0,90,0
15000,19225,84.25,0,90,0
15000,19250,84.25,0,90,0
15000,19275,84.25,0,90,0
15000,19300,84.25,0,90,0
15000,19325,84.25,0,90,0
15000,19350,84.25,0,90,0
15000,19375,84.25,0,90,0
15000,19400,84.25,0,90,0
15000,19425,84.25,0,90,0
15000,19450,84.25,0,90,0
15000,19475,84.25,0,90,0
15000,19500,84.25,0,90,0
